"Ensembl_nodot"	"ENTREZID"	"Symbol"	"gene_type"	"Chr"	"Start"	"End"	"Strand"
"ENSG00000006788"	"8735"	"MYH13"	"protein_coding"	"chr17"	10201401	10276447	"-"
"ENSG00000006831"	"79602"	"ADIPOR2"	"protein_coding"	"chr12"	1797740	1897844	"+"
"ENSG00000006837"	"51265"	"CDKL3"	"protein_coding"	"chr5"	133541305	133706738	"-"
"ENSG00000007001"	"151531"	"UPP2"	"protein_coding"	"chr2"	158733214	158992666	"+"
"ENSG00000007038"	"10942"	"PRSS21"	"protein_coding"	"chr16"	2867164	2876305	"+"
"ENSG00000007047"	"57787"	"MARK4"	"protein_coding"	"chr19"	45582546	45808541	"+"
"ENSG00000007062"	"8842"	"PROM1"	"protein_coding"	"chr4"	15964699	16086001	"-"
"ENSG00000007080"	"115098"	"CCDC124"	"protein_coding"	"chr19"	18043825	18054800	"+"
"ENSG00000007129"	"90273"	"CEACAM21"	"protein_coding"	"chr19"	42055886	42093197	"+"
"ENSG00000007168"	"5048"	"PAFAH1B1"	"protein_coding"	"chr17"	2496504	2588909	"+"
"ENSG00000007171"	"4843"	"NOS2"	"protein_coding"	"chr17"	26083792	26127525	"-"
"ENSG00000007174"	"1770"	"DNAH9"	"protein_coding"	"chr17"	11501748	11873065	"+"
"ENSG00000007202"	"9703"	"KIAA0100"	"protein_coding"	"chr17"	26941458	26972472	"-"
"ENSG00000007216"	"9058"	"SLC13A2"	"protein_coding"	"chr17"	26800311	26824799	"+"
"ENSG00000007237"	"8522"	"GAS7"	"protein_coding"	"chr17"	9813926	10101868	"-"
"ENSG00000007255"	"79090"	"TRAPPC6A"	"protein_coding"	"chr19"	45666186	45681495	"-"
"ENSG00000007264"	"4145"	"MATK"	"protein_coding"	"chr19"	3777971	3802127	"-"
"ENSG00000007306"	"1087"	"CEACAM7"	"protein_coding"	"chr19"	42177235	42210895	"-"
"ENSG00000007312"	"974"	"CD79B"	"protein_coding"	"chr17"	62006100	62009714	"-"
"ENSG00000007314"	"6329"	"SCN4A"	"protein_coding"	"chr17"	62015914	62050278	"-"
"ENSG00000007341"	"54879"	"ST7L"	"protein_coding"	"chr1"	113066140	113163447	"-"
"ENSG00000007350"	"8277"	"TKTL1"	"protein_coding"	"chrX"	153524024	153558700	"+"
"ENSG00000007372"	"5080"	"PAX6"	"protein_coding"	"chr11"	31806340	31839509	"-"
"ENSG00000007376"	"113000"	"RPUSD1"	"protein_coding"	"chr16"	834974	838397	"-"
"ENSG00000007384"	"64285"	"RHBDF1"	"protein_coding"	"chr16"	108058	126354	"-"
"ENSG00000007392"	"55692"	"LUC7L"	"protein_coding"	"chr16"	238968	279462	"-"
"ENSG00000007402"	"9254"	"CACNA2D2"	"protein_coding"	"chr3"	50400233	50541675	"-"
"ENSG00000007516"	"8938"	"BAIAP3"	"protein_coding"	"chr16"	1383602	1399439	"+"
"ENSG00000007520"	"115939"	"TSR3"	"protein_coding"	"chr16"	1399241	1401912	"-"
"ENSG00000007541"	"9091"	"PIGQ"	"protein_coding"	"chr16"	616995	634136	"+"
"ENSG00000007545"	"57585"	"CRAMP1L"	"protein_coding"	"chr16"	1662326	1727909	"+"
"ENSG00000007866"	"7005"	"TEAD3"	"protein_coding"	"chr6"	35441374	35464853	"-"
"ENSG00000007908"	"6401"	"SELE"	"protein_coding"	"chr1"	169691781	169733846	"-"
"ENSG00000007923"	"55735"	"DNAJC11"	"protein_coding"	"chr1"	6694228	6761984	"-"
"ENSG00000007933"	"2328"	"FMO3"	"protein_coding"	"chr1"	171060018	171086959	"+"
"ENSG00000007944"	"29116"	"MYLIP"	"protein_coding"	"chr6"	16129356	16148479	"+"
"ENSG00000007952"	"27035"	"NOX1"	"protein_coding"	"chrX"	100098313	100129334	"-"
"ENSG00000007968"	"1870"	"E2F2"	"protein_coding"	"chr1"	23832922	23857712	"-"
"ENSG00000008018"	"5689"	"PSMB1"	"protein_coding"	"chr6"	170844205	170862429	"-"
"ENSG00000008056"	"6853"	"SYN1"	"protein_coding"	"chrX"	47431303	47479252	"-"
"ENSG00000008083"	"3720"	"JARID2"	"protein_coding"	"chr6"	15246527	15522252	"+"
"ENSG00000008086"	"6792"	"CDKL5"	"protein_coding"	"chrX"	18443703	18671749	"+"
"ENSG00000008118"	"57172"	"CAMK1G"	"protein_coding"	"chr1"	209757062	209787283	"+"
"ENSG00000008128"	"728642"	"CDK11A"	"protein_coding"	"chr1"	1634169	1655766	"-"
"ENSG00000008130"	"65220"	"NADK"	"protein_coding"	"chr1"	1682671	1711896	"-"
"ENSG00000008196"	"7021"	"TFAP2B"	"protein_coding"	"chr6"	50786436	50815326	"+"
"ENSG00000008197"	"83741"	"TFAP2D"	"protein_coding"	"chr6"	50681541	50740701	"+"
"ENSG00000008226"	"9940"	"DLEC1"	"protein_coding"	"chr3"	38080696	38165516	"+"
"ENSG00000008256"	"9265"	"CYTH3"	"protein_coding"	"chr7"	6201407	6312275	"-"
"ENSG00000008277"	"53616"	"ADAM22"	"protein_coding"	"chr7"	87563458	87832204	"+"
"ENSG00000008282"	"6856"	"SYPL1"	"protein_coding"	"chr7"	105730949	105753022	"-"
"ENSG00000008283"	"1534"	"CYB561"	"protein_coding"	"chr17"	61509665	61523739	"-"
"ENSG00000008294"	"9043"	"SPAG9"	"protein_coding"	"chr17"	49039535	49198226	"-"
"ENSG00000008300"	"1951"	"CELSR3"	"protein_coding"	"chr3"	48673902	48700348	"-"
"ENSG00000008311"	"10157"	"AASS"	"protein_coding"	"chr7"	121715701	121784334	"-"
"ENSG00000008323"	"55200"	"PLEKHG6"	"protein_coding"	"chr12"	6419602	6437672	"+"
"ENSG00000008324"	"51188"	"SS18L2"	"protein_coding"	"chr3"	42623332	42636606	"+"
"ENSG00000008382"	"84954"	"MPND"	"protein_coding"	"chr19"	4343524	4360083	"+"
"ENSG00000008394"	"4257"	"MGST1"	"protein_coding"	"chr12"	16500076	16762193	"+"
"ENSG00000008405"	"1407"	"CRY1"	"protein_coding"	"chr12"	107385142	107487607	"-"
"ENSG00000008438"	"8993"	"PGLYRP1"	"protein_coding"	"chr19"	46522411	46526323	"-"
"ENSG00000008441"	"4784"	"NFIX"	"protein_coding"	"chr19"	13106422	13209610	"+"
"ENSG00000008513"	"6482"	"ST3GAL1"	"protein_coding"	"chr8"	134467091	134584183	"-"
"ENSG00000008516"	"64386"	"MMP25"	"protein_coding"	"chr16"	3096682	3110727	"+"
"ENSG00000008517"	"9235"	"IL32"	"protein_coding"	"chr16"	3115298	3131908	"+"
"ENSG00000008710"	"5310"	"PKD1"	"protein_coding"	"chr16"	2138711	2185899	"-"
"ENSG00000008735"	"23542"	"MAPK8IP2"	"protein_coding"	"chr22"	51039114	51052409	"+"
"ENSG00000008838"	"9862"	"MED24"	"protein_coding"	"chr17"	38175350	38217468	"-"
"ENSG00000008853"	"23221"	"RHOBTB2"	"protein_coding"	"chr8"	22844930	22877712	"+"
"ENSG00000008869"	"54497"	"HEATR5B"	"protein_coding"	"chr2"	37195526	37311485	"-"
"ENSG00000008952"	"7095"	"SEC62"	"protein_coding"	"chr3"	169684423	169716161	"+"
"ENSG00000008988"	"6224"	"RPS20"	"protein_coding"	"chr8"	56979854	56987069	"-"
"ENSG00000009307"	"7812"	"CSDE1"	"protein_coding"	"chr1"	115259534	115301297	"-"
"ENSG00000009335"	"9690"	"UBE3C"	"protein_coding"	"chr7"	156931607	157062066	"+"
"ENSG00000009413"	"5980"	"REV3L"	"protein_coding"	"chr6"	111620234	111804918	"-"
"ENSG00000009694"	"10178"	"TENM1"	"protein_coding"	"chrX"	123509753	124097666	"-"
"ENSG00000009709"	"5081"	"PAX7"	"protein_coding"	"chr1"	18957500	19075360	"+"
"ENSG00000009724"	"10747"	"MASP2"	"protein_coding"	"chr1"	11086580	11107290	"-"
"ENSG00000009765"	"389434"	"IYD"	"protein_coding"	"chr6"	150690028	150727105	"+"
"ENSG00000009780"	"199870"	"FAM76A"	"protein_coding"	"chr1"	28052490	28089633	"+"
"ENSG00000009790"	"80342"	"TRAF3IP3"	"protein_coding"	"chr1"	209929377	209955668	"+"
"ENSG00000009830"	"29954"	"POMT2"	"protein_coding"	"chr14"	77741299	77787227	"-"
"ENSG00000009844"	"51534"	"VTA1"	"protein_coding"	"chr6"	142468367	142545826	"+"
"ENSG00000009950"	"51085"	"MLXIPL"	"protein_coding"	"chr7"	73007524	73038873	"-"
"ENSG00000009954"	"9031"	"BAZ1B"	"protein_coding"	"chr7"	72854728	72936608	"-"
"ENSG00000010017"	"10048"	"RANBP9"	"protein_coding"	"chr6"	13621730	13711796	"-"
"ENSG00000010030"	"51513"	"ETV7"	"protein_coding"	"chr6"	36322419	36356164	"-"
"ENSG00000010072"	"83932"	"SPRTN"	"protein_coding"	"chr1"	231472850	231490769	"+"
"ENSG00000010165"	"51603"	"METTL13"	"protein_coding"	"chr1"	171750788	171783163	"+"
"ENSG00000010219"	"8798"	"DYRK4"	"protein_coding"	"chr12"	4671370	4723325	"+"
"ENSG00000010244"	"7756"	"ZNF207"	"protein_coding"	"chr17"	30677136	30708905	"+"
"ENSG00000010256"	"7384"	"UQCRC1"	"protein_coding"	"chr3"	48636435	48648409	"-"
"ENSG00000010270"	"83930"	"STARD3NL"	"protein_coding"	"chr7"	38217824	38270272	"+"
"ENSG00000010278"	"928"	"CD9"	"protein_coding"	"chr12"	6308881	6347425	"+"
"ENSG00000010282"	"57467"	"HHATL"	"protein_coding"	"chr3"	42734155	42744319	"-"
"ENSG00000010292"	"9918"	"NCAPD2"	"protein_coding"	"chr12"	6602522	6641121	"+"
"ENSG00000010295"	"25900"	"IFFO1"	"protein_coding"	"chr12"	6647541	6665239	"-"
"ENSG00000010310"	"2696"	"GIPR"	"protein_coding"	"chr19"	46171502	46186982	"+"
"ENSG00000010318"	"51533"	"PHF7"	"protein_coding"	"chr3"	52444673	52457657	"+"
"ENSG00000010319"	"56920"	"SEMA3G"	"protein_coding"	"chr3"	52467069	52479101	"-"
"ENSG00000010322"	"11188"	"NISCH"	"protein_coding"	"chr3"	52489134	52527087	"+"
"ENSG00000010327"	"23166"	"STAB1"	"protein_coding"	"chr3"	52529354	52558511	"+"
"ENSG00000010361"	"80199"	"FUZ"	"protein_coding"	"chr19"	50310126	50320633	"-"
"ENSG00000010379"	"6540"	"SLC6A13"	"protein_coding"	"chr12"	329789	372039	"-"
"ENSG00000010404"	"3423"	"IDS"	"protein_coding"	"chrX"	148558521	148615470	"-"
"ENSG00000010438"	"5646"	"PRSS3"	"protein_coding"	"chr9"	33750515	33799230	"+"
"ENSG00000010539"	"7752"	"ZNF200"	"protein_coding"	"chr16"	3272325	3286221	"-"
"ENSG00000010610"	"920"	"CD4"	"protein_coding"	"chr12"	6896024	6929974	"+"
"ENSG00000010626"	"10233"	"LRRC23"	"protein_coding"	"chr12"	6982733	7023407	"+"
"ENSG00000010671"	"695"	"BTK"	"protein_coding"	"chrX"	100604435	100641183	"-"
"ENSG00000010704"	"3077"	"HFE"	"protein_coding"	"chr6"	26087509	26098571	"+"
"ENSG00000010803"	"22955"	"SCMH1"	"protein_coding"	"chr1"	41492872	41707826	"-"
"ENSG00000010810"	"2534"	"FYN"	"protein_coding"	"chr6"	111981535	112194655	"-"
"ENSG00000010818"	"3097"	"HIVEP2"	"protein_coding"	"chr6"	143072604	143266338	"-"
"ENSG00000010932"	"2326"	"FMO1"	"protein_coding"	"chr1"	171217638	171255117	"+"
"ENSG00000011007"	"6924"	"TCEB3"	"protein_coding"	"chr1"	24069645	24088549	"+"
"ENSG00000011009"	"11313"	"LYPLA2"	"protein_coding"	"chr1"	24117460	24122029	"+"
"ENSG00000011021"	"1185"	"CLCN6"	"protein_coding"	"chr1"	11866207	11903201	"+"
"ENSG00000011028"	"9902"	"MRC2"	"protein_coding"	"chr17"	60704762	60770958	"+"
